,Age,SibSp,Parch,Fare,Lower,Middle,Upper,Female,Male,Cherbourg,Queenstown,Southampton,Predicted Label,Actual Label
187,45.0,0,0,26.55,0,0,1,0,1,0,0,1,0,1
188,40.0,1,1,15.5,1,0,0,0,1,0,1,0,0,0
191,19.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
212,22.0,0,0,7.25,1,0,0,0,1,0,0,1,0,0
218,32.0,0,0,76.2917,0,0,1,1,0,1,0,0,1,1
221,27.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
225,22.0,0,0,9.35,1,0,0,0,1,0,0,1,0,0
227,20.5,0,0,7.25,1,0,0,0,1,0,0,1,0,0
228,18.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
230,35.0,1,0,83.475,0,0,1,1,0,0,0,1,1,1
239,33.0,0,0,12.275,0,1,0,0,1,0,0,1,0,0
246,25.0,0,0,7.775,1,0,0,1,0,0,0,1,1,0
251,29.0,1,1,10.4625,1,0,0,1,0,0,0,1,1,0
253,30.0,1,0,16.1,1,0,0,0,1,0,0,1,0,0
261,3.0,4,2,31.3875,1,0,0,0,1,0,0,1,0,1
282,16.0,0,0,9.5,1,0,0,0,1,0,0,1,0,0
283,19.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1
308,30.0,1,0,24.0,0,1,0,0,1,1,0,0,0,0
312,26.0,1,1,26.0,0,1,0,1,0,0,0,1,1,0
320,22.0,0,0,7.25,1,0,0,0,1,0,0,1,0,0
321,27.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0
325,36.0,0,0,135.6333,0,0,1,1,0,1,0,0,1,1
331,45.5,0,0,28.5,0,0,1,0,1,0,0,1,0,0
337,41.0,0,0,134.5,0,0,1,1,0,1,0,0,1,1
341,24.0,3,2,263.0,0,0,1,1,0,0,0,1,1,1
343,25.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
345,24.0,0,0,13.0,0,1,0,1,0,0,0,1,1,1
349,42.0,0,0,8.6625,1,0,0,0,1,0,0,1,0,0
357,38.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
361,29.0,1,0,27.7208,0,1,0,0,1,1,0,0,0,0
365,30.0,0,0,7.25,1,0,0,0,1,0,0,1,0,0
366,60.0,1,0,75.25,0,0,1,1,0,1,0,0,1,1
372,19.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
382,32.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0
385,18.0,0,0,73.5,0,1,0,0,1,0,0,1,0,0
393,23.0,1,0,113.275,0,0,1,1,0,1,0,0,1,1
400,39.0,0,0,7.925,1,0,0,0,1,0,0,1,0,1
402,21.0,1,0,9.825,1,0,0,1,0,0,0,1,1,0
403,28.0,1,0,15.85,1,0,0,0,1,0,0,1,0,0
407,3.0,1,1,18.75,0,1,0,0,1,0,0,1,0,1
419,10.0,0,2,24.15,1,0,0,1,0,0,0,1,1,0
448,5.0,2,1,19.2583,1,0,0,1,0,1,0,0,1,1
461,34.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
463,48.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
465,38.0,0,0,7.05,1,0,0,0,1,0,0,1,0,0
469,0.75,2,1,19.2583,1,0,0,1,0,1,0,0,1,1
474,22.0,0,0,9.8375,1,0,0,1,0,0,0,1,1,0
482,50.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
487,58.0,0,0,29.7,0,0,1,0,1,1,0,0,0,0
488,30.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
499,24.0,0,0,7.7958,1,0,0,0,1,0,0,1,0,0
501,21.0,0,0,7.75,1,0,0,1,0,0,1,0,1,0
516,34.0,0,0,10.5,0,1,0,1,0,0,0,1,1,1
518,36.0,1,0,26.0,0,1,0,1,0,0,0,1,1,1
535,7.0,0,2,26.25,0,1,0,1,0,0,0,1,1,1
543,32.0,1,0,26.0,0,1,0,0,1,0,0,1,0,1
544,50.0,1,0,106.425,0,0,1,0,1,1,0,0,0,0
558,39.0,1,1,79.65,0,0,1,1,0,0,0,1,1,1
561,40.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0
567,29.0,0,4,21.075,1,0,0,1,0,0,0,1,1,0
570,62.0,0,0,10.5,0,1,0,0,1,0,0,1,0,1
581,39.0,1,1,110.8833,0,0,1,1,0,1,0,0,1,1
583,36.0,0,0,40.125,0,0,1,0,1,1,0,0,1,0
599,49.0,1,0,56.9292,0,0,1,0,1,1,0,0,0,1
618,4.0,2,1,39.0,0,1,0,1,0,0,0,1,1,1
620,27.0,1,0,14.4542,1,0,0,0,1,1,0,0,0,0
646,19.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0
649,23.0,0,0,7.55,1,0,0,1,0,0,0,1,1,1
654,18.0,0,0,6.75,1,0,0,1,0,0,1,0,1,0
670,40.0,1,1,39.0,0,1,0,1,0,0,0,1,1,1
681,27.0,0,0,76.7292,0,0,1,0,1,1,0,0,1,1
687,19.0,0,0,10.1708,1,0,0,0,1,0,0,1,0,0
688,18.0,0,0,7.7958,1,0,0,0,1,0,0,1,0,0
695,52.0,0,0,13.5,0,1,0,0,1,0,0,1,0,0
696,44.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
700,18.0,1,0,227.525,0,0,1,1,0,1,0,0,1,1
701,35.0,0,0,26.2875,0,0,1,0,1,0,0,1,0,1
705,39.0,0,0,26.0,0,1,0,0,1,0,0,1,0,0
706,45.0,0,0,13.5,0,1,0,1,0,0,0,1,1,1
708,22.0,0,0,151.55,0,0,1,1,0,0,0,1,1,1
713,29.0,0,0,9.4833,1,0,0,0,1,0,0,1,0,0
723,50.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
731,11.0,0,0,18.7875,1,0,0,0,1,1,0,0,0,0
748,19.0,1,0,53.1,0,0,1,0,1,0,0,1,1,0
753,23.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0
754,48.0,1,2,65.0,0,1,0,1,0,0,0,1,1,1
761,41.0,0,0,7.125,1,0,0,0,1,0,0,1,0,0
765,51.0,1,0,77.9583,0,0,1,1,0,0,0,1,1,1
767,30.5,0,0,7.75,1,0,0,1,0,0,1,0,1,0
775,18.0,0,0,7.75,1,0,0,0,1,0,0,1,0,0
781,17.0,1,0,57.0,0,0,1,1,0,0,0,1,1,1
785,25.0,0,0,7.25,1,0,0,0,1,0,0,1,0,0
791,16.0,0,0,26.0,0,1,0,0,1,0,0,1,0,0
797,31.0,0,0,8.6833,1,0,0,1,0,0,0,1,1,1
803,0.42,0,1,8.5167,1,0,0,0,1,1,0,0,0,1
804,27.0,0,0,6.975,1,0,0,0,1,0,0,1,0,1
824,2.0,4,1,39.6875,1,0,0,0,1,0,0,1,0,0
836,21.0,0,0,8.6625,1,0,0,0,1,0,0,1,0,0
841,16.0,0,0,10.5,0,1,0,0,1,0,0,1,0,0
842,30.0,0,0,31.0,0,0,1,1,0,1,0,0,1,1
851,74.0,0,0,7.775,1,0,0,0,1,0,0,1,0,0
853,16.0,0,1,39.4,0,0,1,1,0,0,0,1,1,1
858,24.0,0,3,19.2583,1,0,0,1,0,1,0,0,1,1
862,48.0,0,0,25.9292,0,0,1,1,0,0,0,1,1,1
869,4.0,1,1,11.1333,1,0,0,0,1,0,0,1,0,1
871,47.0,1,1,52.5542,0,0,1,1,0,0,0,1,1,1
877,19.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,0
885,39.0,0,5,29.125,1,0,0,1,0,0,1,0,0,0
